ticker,event_type,ann_date,eff_date,entry_date,exit_date,entry_price,exit_price,raw_return,net_return,vix_level,holding_days,year
GOOGL,addition,2014-03-27,2014-04-03,2014-03-28,2014-04-03,27.802000045776367,28.34076499938965,0.019378640123955022,0.015378640123955022,14.619999885559082,6,2014
NAVI,addition,2014-04-24,2014-05-01,2014-04-25,2014-05-01,9.730067253112793,9.793435096740723,0.006512580229870187,0.0025125802298701866,13.319999694824219,6,2014
BEAM,removal,2014-04-24,2014-05-01,2020-02-06,2020-02-06,18.75,18.75,-0.0,-0.004,13.319999694824219,0,2014
UA,addition,2014-04-24,2014-05-01,2016-03-23,2016-03-23,41.2075080871582,41.2075080871582,0.0,-0.004,13.319999694824219,0,2014
SLM,removal,2014-04-24,2014-05-01,2014-04-25,2014-05-01,8.049999237060547,7.868534564971924,0.02254219742695091,0.018460061903336947,13.319999694824219,6,2014
AVGO,addition,2014-05-01,2014-05-08,2014-05-02,2014-05-08,4.789829730987549,5.064090251922607,0.05725892909318775,0.053258929093187746,13.25,6,2014
MLM,addition,2014-06-25,2014-07-02,2014-06-26,2014-07-02,118.45317077636719,115.65868377685547,-0.02359149173632127,-0.02759149173632127,11.59000015258789,6,2014
UHS,addition,2014-09-15,2014-09-20,2014-09-16,2014-09-22,106.88105010986328,107.94918823242188,0.00999370909492985,0.00599370909492985,14.119999885559082,6,2014
BTU,removal,2014-09-15,2014-09-20,2017-04-03,2017-04-03,26.902666091918945,26.902666091918945,-0.0,-0.004,14.119999885559082,0,2014
URI,addition,2014-09-15,2014-09-20,2014-09-16,2014-09-22,113.74633026123047,110.98262786865234,-0.024297068628332804,-0.028297068628332804,14.119999885559082,6,2014
JBL,removal,2014-10-29,2014-11-05,2014-10-30,2014-11-05,18.477031707763672,19.12104606628418,-0.03485486027768768,-0.038936995801301645,15.149999618530273,6,2014
BMS,removal,2014-11-28,2014-12-05,2014-12-01,2014-12-05,35.54052734375,36.54279327392578,-0.028200648810914036,-0.032255405826656675,13.329999923706055,4,2014
RCL,addition,2014-11-28,2014-12-05,2014-12-01,2014-12-05,62.77396011352539,68.0536117553711,0.08410576029133042,0.08010576029133042,13.329999923706055,4,2014
HCA,addition,2015-01-20,2015-01-27,2015-01-21,2015-01-27,64.294677734375,67.21842193603516,0.045474124837194464,0.04147412483719447,19.889999389648438,6,2015
SWKS,addition,2015-03-05,2015-03-12,2015-03-06,2015-03-12,72.2486801147461,73.92852783203125,0.023250912191298233,0.019250912191298233,14.039999961853027,6,2015
HSIC,addition,2015-03-11,2015-03-18,2015-03-12,2015-03-18,54.23921585083008,54.57646942138672,0.00621789170927845,0.00221789170927845,16.8700008392334,6,2015
SLG,addition,2015-03-16,2015-03-23,2015-03-17,2015-03-23,73.31414031982422,75.74397277832031,0.03314275319735373,0.029142753197353728,15.609999656677246,6,2015
EQIX,addition,2015-03-16,2015-03-23,2015-03-17,2015-03-23,181.23910522460938,184.63548278808594,0.018739761263262895,0.014739761263262895,15.609999656677246,6,2015
AAL,addition,2015-03-16,2015-03-23,2015-03-17,2015-03-23,50.974517822265625,51.648616790771484,0.013224234329322357,0.009224234329322357,15.609999656677246,6,2015
O,addition,2015-03-31,2015-04-07,2015-04-01,2015-04-07,29.79742431640625,29.317012786865234,-0.016122585779217987,-0.020122585779217987,15.289999961853027,6,2015
QRVO,addition,2015-06-04,2015-06-11,2015-06-05,2015-06-11,83.69999694824219,82.0,-0.020310597493730133,-0.024310597493730133,14.710000038146973,6,2015
JBHT,addition,2015-06-24,2015-07-01,2015-06-25,2015-07-01,75.82147216796875,74.872802734375,-0.012511883592712953,-0.016511883592712953,13.260000228881836,6,2015
ATI,removal,2015-06-25,2015-07-02,2015-06-26,2015-07-02,30.70606231689453,28.596412658691406,0.06870466282621956,0.06462252730260559,14.010000228881836,6,2015
KHC,addition,2015-06-29,2015-07-06,2015-07-06,2015-07-06,45.202476501464844,45.202476501464844,0.0,-0.004,18.850000381469727,0,2015
AAP,addition,2015-07-01,2015-07-08,2015-07-02,2015-07-08,141.21934509277344,139.37257385253906,-0.013077324774599023,-0.01707732477459902,16.09000015258789,6,2015
NE,removal,2015-07-13,2015-07-20,2021-06-09,2021-06-09,21.36685562133789,21.36685562133789,-0.0,-0.004,13.899999618530273,0,2015
PYPL,addition,2015-07-13,2015-07-20,2015-07-14,2015-07-20,36.73360824584961,40.25477981567383,0.0958569478461747,0.0918569478461747,13.899999618530273,6,2015
SIG,addition,2015-07-22,2015-07-29,2015-07-23,2015-07-29,100.82264709472656,99.4265365600586,-0.013847191825426602,-0.0178471918254266,12.119999885559082,6,2015
UAL,addition,2015-08-26,2015-09-02,2015-08-27,2015-09-02,53.36000061035156,57.290000915527344,0.07365067953941105,0.06965067953941105,30.31999969482422,6,2015
NWS,addition,2015-09-11,2015-09-18,2015-09-14,2015-09-18,11.41220474243164,11.35028076171875,-0.005426118976173946,-0.009426118976173946,23.200000762939453,4,2015
FOX,addition,2015-09-11,2015-09-18,2019-03-13,2019-03-13,35.304237365722656,35.304237365722656,0.0,-0.004,23.200000762939453,0,2015
VRSK,addition,2015-09-30,2015-10-07,2015-10-01,2015-10-07,74.51272583007812,77.1629638671875,0.035567589396113174,0.03156758939611318,24.5,6,2015
HPE,addition,2015-10-26,2015-11-02,2015-10-27,2015-11-02,6.868083953857422,6.326670169830322,-0.07883039690029088,-0.08283039690029088,15.289999961853027,6,2015
GNW,removal,2015-11-11,2015-11-18,2015-11-12,2015-11-18,4.610000133514404,4.71999979019165,-0.023861096202049036,-0.027943231725662997,16.059999465942383,6,2015
SYF,addition,2015-11-11,2015-11-18,2015-11-12,2015-11-18,24.469778060913086,25.105558395385742,0.025982268122334257,0.021982268122334257,16.059999465942383,6,2015
ILMN,addition,2015-11-12,2015-11-19,2015-11-13,2015-11-19,161.1381378173828,169.03697204589844,0.04901902389778974,0.04501902389778974,18.3700008392334,6,2015
CSRA,addition,2015-11-24,2015-12-01,2015-11-25,2015-12-01,29.379552841186523,29.553565979003906,0.005922933502699121,0.001922933502699121,15.930000305175781,6,2015
CHD,addition,2015-12-22,2015-12-29,2015-12-23,2015-12-29,37.94691848754883,37.71521759033203,-0.006105921282984355,-0.010105921282984355,16.600000381469727,6,2015
FOSL,removal,2015-12-29,2016-01-05,2015-12-30,2016-01-05,37.130001068115234,33.380001068115234,0.10099649588268528,0.0969143603590713,16.079999923706055,6,2015
EXR,addition,2016-01-12,2016-01-19,2016-01-13,2016-01-19,60.97732925415039,60.262359619140625,-0.011725171367047066,-0.015725171367047066,22.469999313354492,6,2016
CFG,addition,2016-01-25,2016-02-01,2016-01-26,2016-02-01,13.919876098632812,14.256046295166016,0.02415037275843434,0.02015037275843434,24.149999618530273,6,2016
FRT,addition,2016-01-25,2016-02-01,2016-01-26,2016-02-01,101.87162780761719,103.11324310302734,0.012188038241176683,0.008188038241176683,24.149999618530273,6,2016
CNX,removal,2016-02-26,2016-03-04,2016-02-29,2016-03-04,7.191667079925537,8.816666603088379,-0.22595588826668367,-0.23001064528242632,19.809999465942383,4,2016
AWK,addition,2016-02-26,2016-03-04,2016-02-29,2016-03-04,53.367393493652344,55.878509521484375,0.04705337591821324,0.043053375918213246,19.809999465942383,4,2016
UDR,addition,2016-02-29,2016-03-07,2016-03-01,2016-03-07,24.530420303344727,24.66807746887207,0.005611692087826729,0.001611692087826729,20.549999237060547,6,2016
CNC,addition,2016-03-23,2016-03-30,2016-03-24,2016-03-30,31.8799991607666,31.229999542236328,-0.020388947165663703,-0.024388947165663703,14.9399995803833,6,2016
HOLX,addition,2016-03-23,2016-03-30,2016-03-24,2016-03-30,34.349998474121094,34.5,0.004366856842567714,0.000366856842567714,14.9399995803833,6,2016
UA,addition,2016-04-01,2016-04-08,2016-04-04,2016-04-08,40.46279525756836,43.709747314453125,0.08024537198223941,0.07624537198223941,13.100000381469727,4,2016
THC,removal,2016-04-11,2016-04-18,2016-04-12,2016-04-18,29.040000915527344,31.8700008392334,-0.09745178493410059,-0.10153392045771456,16.260000228881836,6,2016
ULTA,addition,2016-04-11,2016-04-18,2016-04-12,2016-04-18,203.94000244140625,206.91000366210938,0.01456311260737791,0.01056311260737791,16.260000228881836,6,2016
GPN,addition,2016-04-18,2016-04-25,2016-04-19,2016-04-25,72.59740447998047,69.46036529541016,-0.04321145097460592,-0.047211450974605926,13.350000381469727,6,2016
GME,removal,2016-04-18,2016-04-25,2016-04-19,2016-04-25,6.332613468170166,6.400915622711182,-0.01078577665987749,-0.014867912183491453,13.350000381469727,6,2016
ADT,removal,2016-04-26,2016-05-03,2018-01-19,2018-01-19,9.546114921569824,9.546114921569824,-0.0,-0.004,13.960000038146973,0,2016
ALK,addition,2016-05-06,2016-05-13,2016-05-09,2016-05-13,63.859683990478516,61.50205993652344,-0.03691881804968844,-0.040918818049688443,14.720000267028809,4,2016
